yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,X2B,X3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,payroll
1987,NL,MON,WSN,E,3,162,81,91,71,N,NA,N,N,741,5527,1467,310,39,120,501,918,166,74,35,42,720,631,3.92,16,8,50,4351,1428,145,446,1012,147,122,0.976,Montreal Expos,Stade Olympique,1850324,103,103,MON,MON,MON,6942052
1987,AL,NYA,NYY,E,4,162,81,89,73,N,NA,N,N,788,5511,1445,239,16,196,604,949,105,43,28,38,758,700,4.36,19,10,47,4339,1475,179,542,900,102,155,0.983,New York Yankees,Yankee Stadium II,2427672,99,99,NYY,NYA,NYA,17099714
1987,NL,NYN,NYM,E,2,162,81,92,70,N,NA,N,N,823,5601,1499,287,34,192,592,1012,159,49,31,39,698,621,3.84,16,7,51,4362,1407,135,510,1032,137,137,0.978,New York Mets,Shea Stadium,3034129,95,93,NYM,NYN,NYN,13846714
1987,AL,OAK,OAK,W,3,162,81,81,81,N,NA,N,N,806,5511,1432,263,33,199,593,1056,140,63,36,48,789,694,4.32,18,6,40,4337,1442,176,531,1042,142,122,0.977,Oakland Athletics,Oakland Coliseum,1678921,93,93,OAK,OAK,OAK,11680839
1987,NL,PHI,PHI,E,4,162,81,80,82,N,NA,N,N,702,5475,1390,248,51,169,587,1109,111,49,25,40,749,673,4.18,13,7,48,4345,1453,167,587,877,121,137,0.98,Philadelphia Phillies,Veterans Stadium,2100110,103,104,PHI,PHI,PHI,11514233
1987,NL,PIT,PIT,E,4,162,81,80,82,N,NA,N,N,723,5536,1464,282,45,131,535,914,140,58,29,51,744,674,4.2,25,13,39,4335,1377,164,562,914,123,147,0.98,Pittsburgh Pirates,Three Rivers Stadium,1161193,100,100,PIT,PIT,PIT,7652000
1987,NL,SDN,SDP,W,6,162,81,65,97,N,NA,N,N,668,5456,1419,209,48,113,577,992,198,91,27,36,763,680,4.27,14,10,33,4300,1402,175,602,897,147,135,0.976,San Diego Padres,Jack Murphy Stadium,1454061,96,97,SDP,SDN,SDN,11065796
1987,AL,SEA,SEA,W,4,162,81,78,84,N,NA,N,N,760,5508,1499,282,48,161,500,863,174,73,43,50,801,713,4.49,39,10,33,4292,1503,199,497,919,122,150,0.98,Seattle Mariners,Kingdome,1134255,105,106,SEA,SEA,SEA,2263500
1987,NL,SFN,SFG,W,1,162,81,90,72,Y,NA,N,N,783,5608,1458,274,32,205,511,1094,126,97,39,35,669,601,3.68,19,10,38,4413,1407,146,547,1038,129,183,0.98,San Francisco Giants,Candlestick Park,1917168,96,95,SFG,SFN,SFN,7290000
1987,NL,SLN,STL,E,1,162,81,95,67,Y,NA,Y,N,798,5500,1449,252,49,94,644,933,248,72,18,51,693,637,3.91,10,7,48,4398,1484,129,533,873,116,172,0.982,St. Louis Cardinals,Busch Stadium II,3072122,102,102,STL,SLN,SLN,11758000
1987,AL,TEX,TEX,W,6,162,81,75,87,N,NA,N,N,823,5564,1478,264,35,194,567,1081,120,71,24,51,849,743,4.63,20,3,27,4333,1388,199,760,1103,151,148,0.976,Texas Rangers,Arlington Stadium,1763053,100,101,TEX,TEX,TEX,880000
1987,AL,TOR,TOR,E,2,162,81,96,66,N,NA,N,N,845,5635,1514,277,38,215,555,970,126,50,38,35,655,605,3.74,18,8,43,4362,1323,158,567,1064,111,148,0.982,Toronto Blue Jays,Exhibition Stadium,2778429,102,101,TOR,TOR,TOR,10479501
1988,NL,ATL,ATL,W,6,160,79,54,106,N,NA,N,N,555,5440,1319,228,28,96,432,848,95,69,21,46,741,657,4.09,14,4,25,4338,1481,108,524,810,151,138,0.976,Atlanta Braves,Atlanta-Fulton County Stadium,848089,104,106,ATL,ATL,ATL,12728174
1988,AL,BAL,BAL,E,7,161,80,54,107,N,NA,N,N,550,5358,1275,199,20,137,504,869,69,44,32,45,789,714,4.54,20,7,26,4248,1506,153,523,709,119,172,0.98,Baltimore Orioles,Memorial Stadium,1660738,97,98,BAL,BAL,BAL,13532075
1988,AL,BOS,BOS,E,1,162,81,89,73,Y,NA,N,N,813,5545,1569,310,39,124,623,728,65,36,45,55,689,629,3.97,26,14,37,4279,1415,143,493,1085,93,123,0.984,Boston Red Sox,Fenway Park II,2464851,105,104,BOS,BOS,BOS,13896092
1988,AL,CAL,ANA,W,4,162,81,75,87,N,NA,N,N,714,5582,1458,258,31,124,469,819,86,52,49,52,771,698,4.32,26,9,33,4367,1503,135,568,817,135,175,0.979,California Angels,Anaheim Stadium,2340925,97,97,CAL,CAL,CAL,11947388
